FINAL SUMMARY: PS / GS / GS+GM / GM

 Method NCrosses TotalObjective MeanObjective TopObjective MeanProgenyMean MeanProgenySD MeanDamPhenotype MeanSirePhenotype MeanDamGeneticValue MeanSireGeneticValue
     PS      100       1328.325      13.28325     16.14967        13.09862      1.846313         52.97259          52.59898            14.82339             18.82070
     GS      100       1323.867      13.23867     15.93772        13.05445      1.842172         52.98744          52.68356            15.00009             19.18926
  GS+GM      100       1464.129      14.64129     16.69123        14.45710      1.841869         53.01860          59.51217            15.00009             19.18926
     GM      100       1558.183      15.58183     17.74285        15.40105      1.807776         50.78346          56.04877            13.36822             15.82421


ALL PS PAIRS

    Dam   Sire ObjectiveValue ProgenyMean ProgenySD InbreedingPenalty DamGeneticValue SireGeneticValue DamPhenotype SirePhenotype Method
 ID0194 ID0473       13.19201    13.00481  1.871965                 0        12.86690         19.26019     45.22781      51.53803     PS
 ID0055 ID0441       13.17805    12.99154  1.865104                 0        16.30667         20.57302     51.34780      47.35459     PS
 ID0117 ID0283       13.15951    12.97896  1.805552                 0        13.29141         17.21578     47.12023      46.76556     PS
 ID0048 ID0283       13.13881    12.95555  1.832653                 0        14.64248         17.21578     59.12643      46.76556     PS
 ID0150 ID0441       13.11245    12.93099  1.814679                 0        15.51646         20.57302     58.30818      47.35459     PS
 ID0049 ID0332       13.09538    12.90977  1.856137                 0        13.16122         16.68908     48.42659      56.83125     PS
 ID0171 ID0441       13.08883    12.90277  1.860550                 0        16.09841         20.57302     43.65815      47.35459     PS
 ID0003 ID0283       13.06218    12.87473  1.874495                 0        14.11487         17.21578     48.33678      46.76556     PS
 ID0241 ID0418       12.98835    12.80384  1.845117                 0        14.33264         19.36283     49.78719      56.60350     PS
 ID0042 ID0429       12.95050    12.76355  1.869507                 0        16.17523         18.59487     54.49915      55.46741     PS
 ID0112 ID0450       12.91062    12.72153  1.890897                 0        14.75305         19.48796     49.18156      53.18300     PS
 ID0071 ID0304       12.71119    12.52958  1.816079                 0        12.44380         17.22394     56.61050      52.10445     PS
 ID0016 ID0418       12.70022    12.51302  1.872040                 0        15.68155         19.36283     44.76843      56.60350     PS
 ID0018 ID0450       12.62160    12.43366  1.879415                 0        14.58203         19.48796     60.06121      53.18300     PS
 ID0057 ID0304       12.61676    12.43149  1.852642                 0        13.46821         17.22394     57.64473      52.10445     PS
 ID0214 ID0277       12.59813    12.41549  1.826336                 0        17.96680         20.10865     52.34558      51.79240     PS
 ID0225 ID0332       12.53044    12.34662  1.838187                 0        12.85914         16.68908     40.27862      56.83125     PS
 ID0128 ID0271       12.49892    12.31180  1.871186                 0        16.82795         19.69068     53.65794      54.34961     PS
 ID0148 ID0429       12.45380    12.27145  1.823508                 0        16.13100         18.59487     53.75426      55.46741     PS
 ID0094 ID0418       12.38736    12.21052  1.768356                 0        15.05718         19.36283     54.95742      56.60350     PS
 ID0032 ID0332       12.34663    12.16954  1.770864                 0        12.24249         16.68908     52.73908      56.83125     PS
 ID0050 ID0441       12.33607    12.14972  1.863449                 0        15.09160         20.57302     57.19139      47.35459     PS
 ID0095 ID0304       12.29443    12.10879  1.856321                 0        12.44448         17.22394     49.36969      52.10445     PS
 ID0121 ID0418       12.27013    12.08307  1.870575                 0        14.92222         19.36283     49.04091      56.60350     PS
 ID0174 ID0473       12.25719    12.07358  1.836171                 0        14.93236         19.26019     54.03852      51.53803     PS
 ID0091 ID0429       12.23754    12.05011  1.874317                 0        16.19407         18.59487     49.01004      55.46741     PS
 ID0015 ID0283       12.22940    12.04168  1.877193                 0        13.19741         17.21578     50.35568      46.76556     PS
 ID0093 ID0450       12.21040    12.02653  1.838645                 0        15.56749         19.48796     54.92874      53.18300     PS
 ID0182 ID0271       12.15997    11.97703  1.829416                 0        14.25729         19.69068     49.87873      54.34961     PS
 ID0024 ID0418       12.06766    11.88731  1.803505                 0        15.54066         19.36283     53.10893      56.60350     PS
 ID0046 ID0429       12.05274    11.86987  1.828649                 0        16.09631         18.59487     56.32537      55.46741     PS
 ID0078 ID0283       12.04783    11.86715  1.806828                 0        14.10621         17.21578     54.46205      46.76556     PS
 ID0179 ID0473       11.96596    11.78410  1.818606                 0        13.75542         19.26019     49.02735      51.53803     PS
 ID0092 ID0332       11.94180    11.76129  1.805045                 0        10.87838         16.68908     62.07119      56.83125     PS
 ID0053 ID0473       11.93169    11.74405  1.876388                 0        13.81774         19.26019     44.72006      51.53803     PS
 ID0232 ID0473       11.89721    11.71354  1.836727                 0        12.87550         19.26019     48.51803      51.53803     PS
 ID0201 ID0271       11.88900    11.70328  1.857148                 0        15.53306         19.69068     51.99644      54.34961     PS
 [ reached 'max' / getOption("max.print") -- omitted 10 rows ]


ALL GS PAIRS

